"ID","response"
657962337,"Thinking about where they might be found, e.g. zoo, restaurant etc. Or if they were the same kind of thing e.g. fruit, birds, care professions"
283316515,"i tried to keep food types togther, animaltypes  ie equine, canine, feline etc and jobs professions vs vocations"
263972972,"for animals, i looked at amount of legs, habitat and pet/wild/farm animals\nfoods, i went with flavours (sweet, salty,savoury) and types of food\nfor jobs, I looked at which jobs sector they belong to"
476071905,"I tried to link the pairs both as type and related sometimes the two intertwined and I might have confused the two."
46649280,"This took ridiculously long."
993121991,"animals - taxanomic relationship\nfood - whether fruits/veg/dough/pastry/pasta and pasta dishes/root veg/berries etc\noccupations - professions/different ranks of jobs in same industry/health care/business etc"
521815309,"the easier and shorter word"
684786546,"Whatever felt the most correct in the moment."
31830736,"I didn't use a strategy as the pairing was different, sometimes it was fruit categories other times is what goes together to make a dessert"
720260638,"Same breed of animal, \nFood into fruit or veg, protein \nOccupations that are in same profession I.e. doctor & nurse"
927601530,"How did each word interact with each other (do foods go together? do the jobs work alongside each other? etc)"
108552745,"Reading of words loud, pairing according to categories such as big or small animals, fruits or vegetable and related field of work."
454963212,"animals- where there habitat is/ how big they are / house farm or wild animals\nfood- fruit or veg / taste \noccupation- high paying / physical or mental labour"
348487307,"Species\nGrouping food by type\nSimilar fields/similar level\n"
535498011,"I looked to see if the words could go together eg: Pasta and Salad could make pasta salad.  Also grouped animals if they can be found together or are similar."
46296305,"size, environment, subcategories (e.g. fast food, mammals, jobs looking after others), hierarchy categories "
815104493,"I looked for patterns in the pairs."
852297394,"Animals - by species/family, by geography/location, by association (e.g., farm animals, pets)\nFoods - by food group (fruits, meats), by type (e.g., convenience food/processed food)\nOccupations - by education level (e.g., doctor-lawyer), by trade (e.g., architect-construction), by goal/purpose (e.g., teacher-doctor, helping others), by location (e.g., janitor-principal - school)"
452801435,"Animals - I grouped them by the type of animal (e.g snake and lizard as reptiles, giraffe and elephant as large animals)\n\nFood - I grouped them according to type of food e.g. salad, fruit, dessert, main meal\n\nOccupation -  I grouped them with how likely they are to interact with each other (e.g. athlete and coach)"
499277680,"The categories were very broad. I answered in the broadest terms and The majority of the pairs did fit in the category as specified"
517438721,"Fruit, vegetables, protein, snacks\nMammals, insects, size, fish, \nSkilled, labourer, creative job"
460721546,"Animals cat and dogs eg pets, foods carrots and orange vegetables and fruits  jobs doctor and teacher health and learning"
