"domain","model","value","datatype"
"animals","animals ~ foods",0.000949387628065994,"permuted"
"animals","animals ~ occupations",0.0662639649224433,"permuted"
"animals","animals ~ foods",0.0300577324043824,"permuted"
"animals","animals ~ occupations",0.0142776066091998,"permuted"
"animals","animals ~ foods",0.0243107554828676,"permuted"
"animals","animals ~ occupations",0.10129803742982,"permuted"
"animals","animals ~ foods",0.000550327304307284,"permuted"
"animals","animals ~ occupations",0.0000481343769640016,"permuted"
"animals","animals ~ foods",0.165214127042099,"permuted"
"animals","animals ~ occupations",0.0358818886071428,"permuted"
"animals","animals ~ foods",0.0000681735471292039,"permuted"
"animals","animals ~ occupations",0.124143014169061,"permuted"
"animals","animals ~ foods",0.00606500569967897,"permuted"
"animals","animals ~ occupations",0.0697440942136022,"permuted"
"animals","animals ~ foods",0.0948284763769326,"permuted"
"animals","animals ~ occupations",0.0504571909536558,"permuted"
"animals","animals ~ foods",0.0636215552024321,"permuted"
"animals","animals ~ occupations",0.0136116042951503,"permuted"
"animals","animals ~ foods",0.06582215153814,"permuted"
"animals","animals ~ occupations",0.0714811584343937,"permuted"
"animals","animals ~ foods",0.00465014832692427,"permuted"
"animals","animals ~ occupations",0.0505372007938473,"permuted"
"animals","animals ~ foods",0.000365879220320397,"permuted"
"animals","animals ~ occupations",0.00155324245196209,"permuted"
"animals","animals ~ foods",0.0152667475322556,"permuted"
"animals","animals ~ occupations",0.00897455643759018,"permuted"
"animals","animals ~ foods",0.0864719238614215,"permuted"
"animals","animals ~ occupations",0.000880813159263894,"permuted"
"animals","animals ~ foods",0.105040476803136,"permuted"
"animals","animals ~ occupations",0.00390103447087952,"permuted"
"animals","animals ~ foods",0.00124210926773866,"permuted"
"animals","animals ~ occupations",0.0492914963650915,"permuted"
"animals","animals ~ foods",0.0118040842064928,"permuted"
"animals","animals ~ occupations",0.0102770548115363,"permuted"
"animals","animals ~ foods",0.0900811362204107,"permuted"
"animals","animals ~ occupations",0.0160569508682229,"permuted"
"animals","animals ~ foods",0.0147552890461059,"permuted"
"animals","animals ~ occupations",0.125023581572282,"permuted"
"animals","animals ~ foods",0.00323766728350174,"permuted"
"animals","animals ~ occupations",0.0753138850686083,"permuted"
"animals","animals ~ foods",0.0875488814555746,"permuted"
"animals","animals ~ occupations",0.0107397468671313,"permuted"
"animals","animals ~ foods",0.0228486907169142,"permuted"
"animals","animals ~ occupations",0.0527503928334747,"permuted"
"animals","animals ~ foods",0.00218225251618272,"permuted"
"animals","animals ~ occupations",0.0473225010300947,"permuted"
"animals","animals ~ foods",0.0163036258606037,"permuted"
"animals","animals ~ occupations",0.00865389853555127,"permuted"
"animals","animals ~ foods",0.000747605490253333,"permuted"
"animals","animals ~ occupations",0.00144783276549637,"permuted"
"animals","animals ~ foods",0.0591689726342947,"permuted"
"animals","animals ~ occupations",0.022554690071372,"permuted"
"animals","animals ~ foods",0.021899519172101,"permuted"
"animals","animals ~ occupations",0.0954621297351955,"permuted"
"animals","animals ~ foods",0.137107869671194,"permuted"
"animals","animals ~ occupations",0.0819588626305257,"permuted"
"animals","animals ~ foods",0.00641912906850422,"permuted"
"animals","animals ~ occupations",0.00166447836983584,"permuted"
"animals","animals ~ foods",0.0202875261680737,"permuted"
"animals","animals ~ occupations",0.00180403225410538,"permuted"
"animals","animals ~ foods",0.0252448646178724,"permuted"
"animals","animals ~ occupations",0.0000609810894540813,"permuted"
"animals","animals ~ foods",0.008472584331529,"permuted"
"animals","animals ~ occupations",0.0994332746968867,"permuted"
"animals","animals ~ foods",0.00863435869680143,"permuted"
"animals","animals ~ occupations",0.0168912832340464,"permuted"
"animals","animals ~ foods",0.00404267727421677,"permuted"
"animals","animals ~ occupations",0.00155553267683868,"permuted"
"animals","animals ~ foods",0.011719937548146,"permuted"
"animals","animals ~ occupations",0.00307771091062728,"permuted"
"animals","animals ~ foods",0.00549078724202121,"permuted"
"animals","animals ~ occupations",0.0389791433118676,"permuted"
"animals","animals ~ foods",0.00308549541905525,"permuted"
"animals","animals ~ occupations",0.0000090888385288055,"permuted"
"animals","animals ~ foods",0.0192144839311036,"permuted"
"animals","animals ~ occupations",0.000195039238405889,"permuted"
"animals","animals ~ foods",0.0311981847770466,"permuted"
